strategy_id,reason,day,n,first_seen_ts,last_seen_ts
baseline_v1,"entry_price=0.940 outside [0.1, 0.4)",2026-05-02,5,1777753664,1777762652
baseline_v1,"entry_price=0.023 outside [0.1, 0.4)",2026-05-03,5,1777771672,1777805686
baseline_v1,"entry_price=0.025 outside [0.1, 0.4)",2026-05-03,5,1777769878,1777802064
baseline_v1,category=tradeable_other not in strategy whitelist,2026-05-02,5,1777752700,1777764472
baseline_v1,"entry_price=0.990 outside [0.1, 0.4)",2026-05-03,5,1777777978,1777798686
baseline_v1,"entry_price=0.009 outside [0.1, 0.4)",2026-05-03,5,1777776120,1777801454
baseline_v1,"entry_price=0.650 outside [0.1, 0.4)",2026-05-03,5,1777781584,1777806796
baseline_v1,"entry_price=0.660 outside [0.1, 0.4)",2026-05-03,5,1777790544,1777802366
baseline_v1,hours_to_res=-493828.0 < 72,2026-05-03,5,1777780622,1777780632
baseline_v1,"entry_price=0.031 outside [0.1, 0.4)",2026-05-03,5,1777805680,1777807500
baseline_v1,"entry_price=0.680 outside [0.1, 0.4)",2026-05-02,5,1777752700,1777761780
baseline_v1,hours_to_res=-493828.5 < 72,2026-05-03,5,1777782440,1777782478
baseline_v1,"entry_price=0.982 outside [0.1, 0.4)",2026-05-02,4,1777752756,1777753658
baseline_v1,"entry_price=0.973 outside [0.1, 0.4)",2026-05-02,4,1777759976,1777762654
baseline_v1,hours_to_res=-493822.2 < 72,2026-05-02,4,1777759952,1777759962
baseline_v1,"entry_price=0.610 outside [0.1, 0.4)",2026-05-03,4,1777780680,1777787930
baseline_v1,"entry_price=0.450 outside [0.1, 0.4)",2026-05-03,4,1777770764,1777792146
baseline_v1,"entry_price=0.100 outside [0.1, 0.4)",2026-05-03,4,1777769860,1777802064
baseline_v1,hours_to_res=-493835.2 < 72,2026-05-03,4,1777806610,1777806800
baseline_v1,hours_to_res=-493833.7 < 72,2026-05-03,4,1777801382,1777801450
baseline_v1,"entry_price=0.059 outside [0.1, 0.4)",2026-05-03,4,1777787932,1777807496
baseline_v1,hours_to_res=-493820.2 < 72,2026-05-02,4,1777752684,1777752770
baseline_v1,price out of bounds: 0.003000000012,2026-05-03,4,1777773496,1777801458
baseline_v1,"entry_price=0.800 outside [0.1, 0.4)",2026-05-03,4,1777778876,1777797814
baseline_v1,hours_to_res=-493830.7 < 72,2026-05-03,4,1777790540,1777790568
baseline_v1,cap reached on this market (n=10),2026-05-02,4,1777754560,1777765358
baseline_v1,"entry_price=0.973 outside [0.1, 0.4)",2026-05-03,4,1777778880,1777803182
baseline_v1,"entry_price=0.490 outside [0.1, 0.4)",2026-05-02,4,1777753574,1777763574
baseline_v1,"entry_price=0.470 outside [0.1, 0.4)",2026-05-03,4,1777790552,1777807494
baseline_v1,"entry_price=0.860 outside [0.1, 0.4)",2026-05-02,4,1777754564,1777765300
baseline_v1,"entry_price=0.984 outside [0.1, 0.4)",2026-05-03,4,1777769876,1777805680
baseline_v1,hours_to_res=-493825.5 < 72,2026-05-03,4,1777771688,1777771710
baseline_v1,"entry_price=0.750 outside [0.1, 0.4)",2026-05-03,4,1777777946,1777791510
baseline_v1,"entry_price=0.770 outside [0.1, 0.4)",2026-05-03,4,1777783406,1777792368
baseline_v1,"entry_price=0.006 outside [0.1, 0.4)",2026-05-03,4,1777786092,1777805678
